,Date,Open,High,Low,Close,Adj Close,Volume
198,1996-10-03,1.0625,1.1,1.0625,1.1,0.894122,99999.0
199,1996-10-04,1.06375,1.06375,1.063125,1.063125,0.864148,159999.0
200,1996-10-07,1.063125,1.063125,1.063125,1.063125,0.864148,0.0
201,1996-10-08,1.0,1.06,1.0,1.0,0.812838,139999.0
202,1996-10-09,1.062375,1.062375,1.062375,1.062375,0.863539,19999.0
203,1996-10-10,1.099875,1.099875,1.075,1.075,0.873801,39999.0
204,1996-10-11,1.075,1.1,1.075,1.1,0.894122,39999.0
205,1996-10-14,1.1,1.1,1.1,1.1,0.894122,39999.0
206,1996-10-15,1.124875,1.124875,1.05,1.05,0.85348,39999.0
207,1996-10-16,1.0625,1.0625,1.0625,1.0625,0.86364,39999.0
208,1996-10-17,1.0875,1.095,1.0875,1.095,0.890058,79999.0
209,1996-10-18,1.095,1.095,1.095,1.095,0.890058,0.0
210,1996-10-21,1.095,1.095,1.095,1.095,0.890058,0.0
211,1996-10-22,1.1,1.1375,1.1,1.125,0.914443,59999.0
212,1996-10-23,1.1625,1.1625,1.125,1.125125,0.914544,79999.0
213,1996-10-24,1.125125,1.125125,1.125125,1.125125,0.914544,0.0
214,1996-10-25,1.125125,1.125125,1.125125,1.125125,0.914544,0.0
215,1996-10-28,1.125125,1.125125,1.125125,1.125125,0.914544,0.0
216,1996-10-29,1.0875,1.0875,1.0875,1.0875,0.883961,39999.0
217,1996-10-30,1.0875,1.0875,1.0875,1.0875,0.883961,0.0
218,1996-10-31,1.0875,1.0875,1.0875,1.0875,0.883961,0.0
219,1996-11-01,1.0875,1.0875,1.0875,1.0875,0.883961,0.0
220,1996-11-04,1.0875,1.0875,1.0875,1.0875,0.883961,0.0
221,1996-11-05,1.0875,1.0875,1.0875,1.0875,0.883961,39999.0
222,1996-11-06,1.0875,1.0875,1.0875,1.0875,0.883961,39999.0
223,1996-11-07,1.1,1.1,1.0975,1.09875,0.893106,59999.0
224,1996-11-08,1.095,1.095,1.095,1.095,0.890058,19999.0
225,1996-11-11,1.0825,1.0825,1.0825,1.0825,0.879897,39999.0
226,1996-11-12,1.0825,1.0825,1.0825,1.0825,0.879897,0.0
227,1996-11-13,1.05,1.05,1.05,1.05,0.85348,19999.0
228,1996-11-14,1.072375,1.0725,1.072375,1.0725,0.871769,39999.0
229,1996-11-15,1.06,1.06,1.06,1.06,0.861608,19999.0
230,1996-11-18,1.06,1.06,1.05,1.05,0.85348,59999.0
231,1996-11-19,1.05,1.05,1.0375,1.0375,0.84332,79999.0
232,1996-11-20,1.0375,1.0375,1.0375,1.0375,0.84332,0.0
233,1996-11-21,1.0375,1.0375,1.0375,1.0375,0.84332,0.0
234,1996-11-22,1.0375,1.0375,1.0375,1.0375,0.84332,0.0
235,1996-11-25,1.0375,1.0375,1.0375,1.0375,0.84332,0.0
236,1996-11-26,1.0375,1.0375,1.0375,1.0375,0.84332,0.0
237,1996-11-27,1.0375,1.0375,1.0375,1.0375,0.84332,0.0
238,1996-11-28,1.0375,1.0375,1.0375,1.0375,0.84332,0.0
239,1996-11-29,0.965,0.965,0.965,0.965,0.784389,39999.0
240,1996-12-02,0.965,0.965,0.965,0.965,0.784389,0.0
241,1996-12-03,0.965,0.965,0.965,0.965,0.784389,0.0
242,1996-12-04,0.965,0.965,0.965,0.965,0.784389,0.0
243,1996-12-05,0.965,0.965,0.965,0.965,0.784389,0.0
244,1996-12-06,0.965,0.965,0.965,0.965,0.784389,0.0
245,1996-12-09,0.8975,0.8975,0.8975,0.8975,0.729522,19999.0
246,1996-12-10,0.8975,0.8975,0.8975,0.8975,0.729522,0.0
247,1996-12-11,0.8975,0.8975,0.8975,0.8975,0.729522,0.0
248,1996-12-12,0.837375,0.837375,0.837375,0.837375,0.68065,19999.0
249,1996-12-13,0.7875,0.7875,0.7875,0.7875,0.64011,19999.0
250,1996-12-16,0.7875,0.7875,0.7875,0.7875,0.64011,0.0
251,1996-12-17,0.8375,0.8375,0.7875,0.7875,0.64011,39999.0
252,1996-12-18,0.8425,0.8425,0.8,0.8,0.650271,99999.0
253,1996-12-19,0.8125,0.8125,0.8125,0.8125,0.660431,19999.0
254,1996-12-20,0.8425,0.8425,0.8425,0.8425,0.684816,19999.0
255,1996-12-23,0.8425,0.8425,0.8425,0.8425,0.684816,0.0
256,1996-12-24,0.8375,0.8375,0.8375,0.8375,0.680752,19999.0
257,1996-12-25,0.8375,0.8375,0.8375,0.8375,0.680752,0.0
258,1996-12-26,0.8025,0.8025,0.7875,0.7875,0.64011,219999.0
259,1996-12-27,0.7875,0.7875,0.7875,0.7875,0.64011,0.0
260,1996-12-30,0.7875,0.7875,0.7875,0.7875,0.64011,0.0
261,1996-12-31,0.7875,0.7875,0.7375,0.7675,0.623853,219999.0
262,1997-01-01,0.7675,0.7675,0.7675,0.7675,0.623853,0.0
263,1997-01-02,0.8125,0.8125,0.8,0.8,0.650271,59999.0
264,1997-01-03,0.84375,0.845,0.84375,0.845,0.686848,39999.0
265,1997-01-06,0.845,0.845,0.845,0.845,0.686848,0.0
266,1997-01-07,0.845,0.845,0.845,0.845,0.686848,0.0
267,1997-01-08,0.85,0.85,0.85,0.85,0.690912,19999.0
268,1997-01-09,0.85,0.85,0.85,0.85,0.690912,19999.0
269,1997-01-10,0.85,0.8625,0.85,0.8625,0.701073,219999.0
270,1997-01-13,0.872375,0.8725,0.86,0.86,0.699041,159999.0
271,1997-01-14,0.86,0.86,0.86,0.86,0.699041,0.0
272,1997-01-15,0.91,0.91,0.91,0.91,0.739683,19999.0
273,1997-01-16,0.900625,0.900625,0.900625,0.900625,0.732062,39999.0
274,1997-01-17,0.900625,0.900625,0.900625,0.900625,0.732062,0.0
275,1997-01-20,0.900625,0.900625,0.900625,0.900625,0.732062,0.0
276,1997-01-21,0.875,0.875,0.875,0.875,0.711233,39999.0
277,1997-01-22,0.875,0.875,0.875,0.875,0.711233,0.0
278,1997-01-23,0.875,0.875,0.875,0.875,0.711233,0.0
279,1997-01-24,0.875,0.875,0.875,0.875,0.711233,19999.0
280,1997-01-27,0.875,0.875,0.875,0.875,0.711233,19999.0
281,1997-01-28,0.9,0.91225,0.9,0.91225,0.741511,39999.0
282,1997-01-29,0.875,0.875,0.875,0.875,0.711233,39999.0
283,1997-01-30,0.875,0.875,0.875,0.875,0.711233,0.0
284,1997-01-31,0.875,0.875,0.875,0.875,0.711233,0.0
285,1997-02-03,0.875,0.875,0.875,0.875,0.711233,0.0
286,1997-02-04,0.8625,0.8625,0.8625,0.8625,0.701073,19999.0
287,1997-02-05,0.8625,0.8625,0.8625,0.8625,0.701073,0.0
288,1997-02-06,0.8625,0.8625,0.8625,0.8625,0.701073,0.0
289,1997-02-07,0.8625,0.8625,0.8625,0.8625,0.701073,0.0
290,1997-02-10,0.8625,0.8625,0.8625,0.8625,0.701073,0.0
291,1997-02-11,0.875,0.875,0.875,0.875,0.711233,19999.0
292,1997-02-12,0.89375,0.895,0.89375,0.894375,0.726982,39999.0
