,Date,Open,High,Low,Close,Adj Close,Volume
110,2023-05-17,586.0,590.5,579.5,586.299988,575.123901,23739774
111,2023-05-18,590.299988,593.900024,571.400024,574.200012,563.254578,45656620
112,2023-05-19,579.0,586.25,569.900024,575.150024,564.186462,42293962
113,2023-05-22,577.5,580.299988,573.450012,577.150024,566.148315,21484049
114,2023-05-23,578.900024,583.700012,576.799988,581.599976,570.513428,16120548
115,2023-05-24,579.799988,585.25,578.25,582.700012,571.592529,17616658
116,2023-05-25,582.0,582.900024,577.0,581.25,570.170166,16479436
117,2023-05-26,581.25,587.75,580.549988,586.0,574.82959,9788076
118,2023-05-29,590.0,596.400024,588.049988,595.0,583.65802,18432231
119,2023-05-30,595.0,595.5,591.5,592.799988,581.5,15031640
120,2023-05-31,583.799988,584.799988,577.5,579.849976,579.849976,28797643
121,2023-06-01,581.799988,586.400024,581.0,582.75,582.75,17820226
122,2023-06-02,584.700012,588.900024,583.0,587.200012,587.200012,11323908
123,2023-06-05,588.5,589.799988,586.0,587.200012,587.200012,12920507
124,2023-06-06,588.0,588.900024,583.0,585.349976,585.349976,11199940
125,2023-06-07,588.0,590.599976,586.0,589.200012,589.200012,11113781
126,2023-06-08,589.950012,593.950012,586.349976,588.5,588.5,15971917
127,2023-06-09,588.0,589.099976,576.75,578.700012,578.700012,18870272
128,2023-06-12,580.0,581.5,577.700012,578.650024,578.650024,8786066
129,2023-06-13,579.450012,581.400024,574.25,576.400024,576.400024,12612098
130,2023-06-14,577.0,578.549988,575.25,576.549988,576.549988,8948696
131,2023-06-15,576.0,576.700012,565.25,566.5,566.5,17934877
132,2023-06-16,568.75,574.700012,567.049988,571.25,571.25,12660226
133,2023-06-19,571.25,572.75,565.900024,568.849976,568.849976,17903691
134,2023-06-20,568.849976,569.450012,562.549988,567.400024,567.400024,14549152
135,2023-06-21,567.400024,569.5,565.650024,566.349976,566.349976,14946871
136,2023-06-22,566.349976,569.0,561.049988,562.950012,562.950012,14979063
137,2023-06-23,562.0,562.099976,553.799988,554.599976,554.599976,12215712
138,2023-06-26,556.0,558.5,554.5,557.049988,557.049988,8360264
139,2023-06-27,558.25,567.950012,555.650024,566.099976,566.099976,10694768
140,2023-06-28,566.099976,566.099976,566.099976,566.099976,566.099976,0
141,2023-06-30,574.0,574.0,570.200012,572.849976,572.849976,8718232
142,2023-07-03,574.5,586.349976,573.900024,585.450012,585.450012,15421985
143,2023-07-04,588.200012,595.950012,582.25,589.25,589.25,24799250
144,2023-07-05,589.799988,593.700012,588.200012,590.599976,590.599976,13598114
145,2023-07-06,590.400024,593.5,589.099976,592.5,592.5,11323509
146,2023-07-07,590.0,595.5,585.5,593.599976,593.599976,11707209
147,2023-07-10,594.650024,599.799988,590.25,592.599976,592.599976,11417363
148,2023-07-11,595.0,595.950012,587.349976,588.549988,588.549988,13221177
149,2023-07-12,589.0,594.5,588.200012,589.25,589.25,16029716
150,2023-07-13,594.900024,598.0,583.349976,585.650024,585.650024,20024503
151,2023-07-14,586.75,591.299988,580.700012,584.400024,584.400024,12190152
152,2023-07-17,587.0,602.849976,584.200012,601.099976,601.099976,19378986
